Date,Source,Actions,Sessions
16/03/2018,24h,42,3763
16/03/2018,ADX,203,5196
16/03/2018,Eclick,39,2545
17/03/2018,24h,0,0
17/03/2018,ADX,115,4965
17/03/2018,Eclick,169,2520
18/03/2018,24h,0,0
18/03/2018,ADX,304,5489
18/03/2018,Eclick,46,2451
19/03/2018,24h,118,4514
19/03/2018,ADX,428,5774
19/03/2018,Eclick,58,2811
20/03/2018,24h,65,4830
20/03/2018,ADX,153,4533
20/03/2018,Eclick,33,2895
21/03/2018,24h,0,0
21/03/2018,ADX,140,5106
21/03/2018,Eclick,59,3022
22/03/2018,24h,0,46
22/03/2018,ADX,190,5469
22/03/2018,Eclick,41,3215
